iter	Passed	Remaining
1010	13534	6546
1011	13548	6533
1012	13566	6522
1013	13581	6509
1014	13595	6496
1015	13607	6482
1016	13620	6468
1017	13635	6455
1018	13648	6442
1019	13665	6430
1020	13679	6417
1021	13694	6404
1022	13708	6391
1023	13719	6377
1024	13732	6363
1025	13744	6350
1026	13759	6337
1027	13774	6324
1028	13788	6311
1029	13801	6297
1030	13814	6284
1031	13827	6270
1032	13842	6257
1033	13857	6245
1034	13869	6231
1035	13883	6218
1036	13898	6205
1037	13911	6191
1038	13924	6178
1039	13934	6163
1040	13945	6148
1041	13955	6134
1042	13965	6119
1043	13979	6106
1044	13991	6091
1045	14005	6078
1046	14021	6066
1047	14036	6053
1048	14049	6040
1049	14062	6026
1050	14074	6012
1051	14088	5999
1052	14103	5986
1053	14118	5974
1054	14160	5973
1055	14176	5960
1056	14188	5946
1057	14201	5932
1058	14213	5919
1059	14226	5905
1060	14238	5891
1061	14254	5879
1062	14268	5865
1063	14282	5852
1064	14294	5838
1065	14307	5824
1066	14321	5811
1067	14334	5798
1068	14343	5783
1069	14355	5769
1070	14370	5756
1071	14383	5742
1072	14398	5729
1073	14413	5717
1074	14426	5703
1075	14439	5689
1076	14452	5676
1077	14464	5662
1078	14477	5648
1079	14493	5636
1080	14504	5622
1081	14517	5608
1082	14531	5595
1083	14541	5580
1084	14552	5566
1085	14565	5552
1086	14579	5539
1087	14595	5526
1088	14610	5514
1089	14624	5501
1090	14638	5487
1091	14651	5474
1092	14665	5460
1093	14676	5446
1094	14687	5432
1095	14697	5417
1096	14710	5404
1097	14725	5391
1098	14737	5377
1099	14752	5364
1100	14764	5350
1101	14777	5337
1102	14791	5323
1103	14801	5309
1104	14816	5296
1105	14829	5282
1106	14842	5269
1107	14856	5256
1108	14868	5242
1109	14879	5228
1110	14891	5214
1111	14903	5200
1112	14917	5186
1113	14930	5173
1114	14943	5159
1115	14957	5146
1116	14971	5133
1117	14981	5118
1118	14993	5105
1119	15006	5091
1120	15018	5077
1121	15030	5063
1122	15046	5051
1123	15059	5037
1124	15074	5024
1125	15086	5011
1126	15102	4998
1127	15116	4985
1128	15128	4971
1129	15143	4958
1130	15157	4945
1131	15176	4933
1132	15188	4919
